division,quarter,meanDaS
21.0.A,1,3
21.0.A,2,
21.0.B,3,
21.0.B,4,2
21.1.A,1,13220
21.1.A,2,16083
21.1.A,3,17640
21.1.A,4,9627
21.1.B,1,15
21.1.B,2,182
21.1.B,3,286
21.1.B,4,87
21.1.C,1,960
21.1.C,2,596
21.1.C,3,638
21.1.C,4,1245
21.1.D,1,202
21.1.D,2,173
21.1.D,3,247
21.1.D,4,353
21.1.E,1,361
21.1.E,2,395
21.1.E,3,476
21.1.E,4,297
21.1.F,1,182
21.1.F,2,321
21.1.F,3,615
21.1.F,4,628
21.2.H,2,
21.2.J,3,
21.3.M,2,52
21.3.M,3,7
21.6.G,4,
27.1,1,527
27.1,2,153
27.1,3,296
27.1,4,878
27.10.a,1,937
27.10.a,2,1378
27.10.a,3,1455
27.10.a,4,1148
27.10.b,2,2
27.10.b,3,
27.14.a,2,
27.14.a,3,23
27.14.a,4,4
27.14.b,1,82
27.14.b,2,317
27.14.b,3,159
27.14.b,4,104
27.2.a,1,866
27.2.a,2,1035
27.2.a,3,795
27.2.a,4,498
27.2.b,1,180
27.2.b,2,118
27.2.b,3,143
27.2.b,4,468
27.3.a,1,16
27.3.a,2,18
27.3.a,3,21
27.3.a,4,26
27.3.b,2,
27.3.c,1,
27.3.d,1,20
27.3.d,2,33
27.3.d,3,65
27.3.d,4,26
27.4.a,1,593
27.4.a,2,825
27.4.a,3,1435
27.4.a,4,1057
27.4.b,1,23
27.4.b,2,34
27.4.b,3,32
27.4.b,4,33
27.4.c,1,26
27.4.c,2,153
27.4.c,3,123
27.4.c,4,68
27.5.a,1,2154
27.5.a,2,1702
27.5.a,3,1331
27.5.a,4,1800
27.5.b,1,29
27.5.b,2,124
27.5.b,3,176
27.5.b,4,67
27.6.a,1,882
27.6.a,2,1337
27.6.a,3,406
27.6.a,4,381
27.6.b,1,10
27.6.b,2,82
27.6.b,3,459
27.6.b,4,39
27.7.a,1,6
27.7.a,2,111
27.7.a,3,132
27.7.a,4,57
27.7.b,1,
27.7.b,2,5
27.7.b,3,67
27.7.b,4,9
27.7.d,1,85
27.7.d,2,697
27.7.d,3,684
27.7.d,4,370
27.7.e,1,205
27.7.e,2,755
27.7.e,3,971
27.7.e,4,503
27.7.f,1,10
27.7.f,2,231
27.7.f,3,227
27.7.f,4,70
27.7.g,1,
27.7.g,2,19
27.7.g,3,210
27.7.g,4,18
27.7.h,1,143
27.7.h,2,38
27.7.h,3,822
27.7.h,4,279
27.7.j,1,2168
27.7.j,2,1580
27.7.j,3,768
27.7.j,4,2026
27.7.k,1,5
27.7.k,2,10
27.7.k,3,49
27.7.k,4,142
27.8.a,1,2326
27.8.a,2,3696
27.8.a,3,4866
27.8.a,4,3462
27.8.b,1,1056
27.8.b,2,2009
27.8.b,3,2002
27.8.b,4,1325
27.8.c,1,3177
27.8.c,2,4013
27.8.c,3,3644
27.8.c,4,4234
27.8.d,1,298
27.8.d,2,153
27.8.d,3,288
27.8.d,4,455
27.9.a,1,3546
27.9.a,2,4901
27.9.a,3,5073
27.9.a,4,3544
27.9.b,2,4
